anchor,variant,edit_distance,description,model,trained_cos,kron_cos,bucket,anchor_pieces,variant_pieces
import,imported,2,morph_+ed,deepseek-v3-base,0.7454,0.8659,morphological,1,2
import,importing,3,morph_+ing,deepseek-v3-base,0.7526,0.8163,morphological,1,2
import,important,3,near_unrelated,deepseek-v3-base,0.0423,0.8163,unrelated,1,1
import,export,2,antonym,deepseek-v3-base,0.3214,0.6664,unrelated,1,1
import,kitchen,7,unrelated,deepseek-v3-base,-0.0064,-0.0008,unrelated,1,2
code,code,0,self,deepseek-v3-base,1.0000,1.0000,self,1,1
code,Code,1,case_swap,deepseek-v3-base,0.5937,0.7499,same_canonical,1,1
code,codes,1,morph_+s,deepseek-v3-base,0.3303,0.8944,morphological,1,1
code,coded,1,morph_+d,deepseek-v3-base,0.2022,0.8944,morphological,1,2
code,coding,2,morph_+ing,deepseek-v3-base,0.2291,0.6121,morphological,1,1
code,codec,1,morph_+c,deepseek-v3-base,0.7273,0.8944,morphological,1,2
code,decode,2,morph_prefix,deepseek-v3-base,0.1863,-0.0006,morphological,1,1
code,encode,2,morph_prefix_2,deepseek-v3-base,0.2229,-0.0006,morphological,1,1
code,kitchen,6,unrelated,deepseek-v3-base,0.0997,-0.0006,unrelated,1,2
run,run,0,self,gpt-oss-120b,1.0000,1.0000,self,1,1
run,Run,1,case_swap,gpt-oss-120b,0.8469,0.6665,same_canonical,1,1
run,RUN,3,all_caps,gpt-oss-120b,0.6355,-0.0004,same_canonical,1,1
run,runs,1,morph_+s,gpt-oss-120b,0.7180,0.8660,morphological,1,1
run,ran,2,morph_irregular,gpt-oss-120b,0.3764,0.6665,morphological,1,1
run,runner,3,morph_+er,gpt-oss-120b,0.4573,0.7070,morphological,1,1
run,running,4,morph_+ing,gpt-oss-120b,0.6127,0.6545,morphological,1,1
run,rune,1,near_unrelated,gpt-oss-120b,0.4772,0.8660,unrelated,1,2
run,road,3,unrelated_short,gpt-oss-120b,0.2899,0.2884,unrelated,1,1
run,kitchen,6,unrelated_long,gpt-oss-120b,0.2138,-0.0006,unrelated,1,2
compute,compute,0,self,gpt-oss-120b,1.0000,1.0000,self,1,1
compute,Compute,1,case_swap,gpt-oss-120b,0.8300,0.8570,same_canonical,1,1
compute,computes,1,morph_+s,gpt-oss-120b,0.5060,0.9353,morphological,1,2
compute,computed,1,morph_+d,gpt-oss-120b,0.7026,0.9353,morphological,1,1
compute,computer,1,morph_+r,gpt-oss-120b,0.4404,0.9353,morphological,1,1
compute,computing,2,morph_+ing,gpt-oss-120b,0.4935,0.7557,morphological,1,2
compute,computation,3,morph_+ation,gpt-oss-120b,0.5769,0.6834,morphological,1,2
compute,commute,1,near_unrelated,gpt-oss-120b,0.2988,0.8570,unrelated,1,2
compute,compose,2,unrelated,gpt-oss-120b,0.3247,0.7140,unrelated,1,1
compute,kitchen,7,unrelated_long,gpt-oss-120b,0.0532,-0.0009,unrelated,1,2
nation,nation,0,self,gpt-oss-120b,1.0000,1.0000,self,1,1
nation,Nation,1,case_swap,gpt-oss-120b,0.6734,0.8332,same_canonical,1,1
nation,nations,1,morph_+s,gpt-oss-120b,0.2685,0.9258,morphological,1,2
nation,national,2,morph_+al,gpt-oss-120b,0.3955,0.8659,morphological,1,1
nation,nationally,4,morph_+ally,gpt-oss-120b,0.3275,0.7744,morphological,1,2
nation,station,1,near_unrelated,gpt-oss-120b,0.4000,-0.0008,unrelated,1,1
nation,notion,2,near_unrelated_2,gpt-oss-120b,0.2830,0.8332,unrelated,1,2
nation,ration,1,near_unrelated_3,gpt-oss-120b,0.3433,0.8332,unrelated,1,1
nation,kitchen,6,unrelated,gpt-oss-120b,0.1273,0.1536,unrelated,1,2
import,import,0,self,gpt-oss-120b,1.0000,1.0000,self,1,1
import,Import,1,case_swap,gpt-oss-120b,0.5245,0.8332,same_canonical,1,1
import,imports,1,morph_+s,gpt-oss-120b,0.3766,0.9258,morphological,1,1
import,imported,2,morph_+ed,gpt-oss-120b,0.7848,0.8659,morphological,1,2
import,importing,3,morph_+ing,gpt-oss-120b,0.7975,0.8163,morphological,1,2
import,important,3,near_unrelated,gpt-oss-120b,0.1471,0.8163,unrelated,1,1
import,export,2,antonym,gpt-oss-120b,0.4110,0.6664,unrelated,1,1
import,kitchen,7,unrelated,gpt-oss-120b,0.0330,-0.0008,unrelated,1,2
code,code,0,self,gpt-oss-120b,1.0000,1.0000,self,1,1
